,Material,Extent,Measure,Site,2017-2018,2018-2019
101,Other,Australia,Count,Beaches,1.5,1.6
102,Other,Australia,Count,Car parks,1.0,0.8
103,Other,Australia,Count,Highways,1.4,1.5
104,Other,Australia,Count,Industrial sites,1.8,2.3
105,Other,Australia,Count,Recreational parks,0.6,0.6
106,Other,Australia,Count,Residential sites,0.9,0.8
107,Other,Australia,Count,Retail strips,1.2,1.5
108,Other,Australia,Count,Shopping centres,0.6,0.8
109,Other,Australia,Volume,All,0.06,0.07
110,Other,Queensland,Count,All,1.7,1.7
111,Other,Queensland,Count,Beaches,3.2,4.3
112,Other,Queensland,Count,Car parks,0.8,0.5
113,Other,Queensland,Count,Highways,2.1,2.5
114,Other,Queensland,Count,Industrial sites,1.5,1.1
115,Other,Queensland,Count,Recreational parks,1.5,1.4
116,Other,Queensland,Count,Residential sites,1.0,0.7
117,Other,Queensland,Count,Retail strips,2.2,2.0
118,Other,Queensland,Count,Shopping centres,0.9,1.4
119,Other,Queensland,Volume,All,0.07,0.09
120,Large items,Australia,Volume,All,0.79,0.74
121,Large items,Queensland,Volume,All,0.38,0.75
